Time Zone Index	CountryCode	TimeZoneId	GMT offset 1. Jan 2026	DST offset 1. Jul 2026	rawOffset (independant of DST)
304	AU	Australia/Darwin	9.5	9.5	9.5
305	AU	Australia/Eucla	8.75	8.75	8.75
306	AU	Australia/Hobart	11	10	10
307	AU	Australia/Lindeman	10	10	10
308	AU	Australia/Lord_Howe	11	10.5	10.5
309	AU	Australia/Melbourne	11	10	10
310	AU	Australia/Perth	8	8	8
311	AU	Australia/Sydney	11	10	10
312	NL	Europe/Amsterdam	1	2	1
313	AD	Europe/Andorra	1	2	1
314	RU	Europe/Astrakhan	4	4	4
315	GR	Europe/Athens	2	3	2
316	RS	Europe/Belgrade	1	2	1
317	DE	Europe/Bonn	1	2	1
318	SK	Europe/Bratislava	1	2	1
319	BE	Europe/Brussels	1	2	1
320	RO	Europe/Bucharest	2	3	2
321	HU	Europe/Budapest	1	2	1
322	DE	Europe/Busingen	1	2	1
323	MD	Europe/Chisinau	2	3	2
324	DK	Europe/Copenhagen	1	2	1
325	IE	Europe/Dublin	0	1	0
326	GI	Europe/Gibraltar	1	2	1
327	GG	Europe/Guernsey	0	1	0
328	FI	Europe/Helsinki	2	3	2
329	IM	Europe/Isle_of_Man	0	1	0
330	TR	Europe/Istanbul	3	3	3
331	JE	Europe/Jersey	0	1	0
332	RU	Europe/Kaliningrad	2	2	2
333	RU	Europe/Kirov	3	3	3
334	UA	Europe/Kyiv	2	3	2
335	PT	Europe/Lisbon	0	1	0
336	SI	Europe/Ljubljana	1	2	1
337	GB	Europe/London	0	1	0
338	LU	Europe/Luxembourg	1	2	1
339	ES	Europe/Madrid	1	2	1
340	MT	Europe/Malta	1	2	1
341	AX	Europe/Mariehamn	2	3	2
342	BY	Europe/Minsk	3	3	3
343	MC	Europe/Monaco	1	2	1
344	RU	Europe/Moscow	3	3	3
345	NO	Europe/Oslo	1	2	1
346	FR	Europe/Paris	1	2	1
347	ME	Europe/Podgorica	1	2	1
348	CZ	Europe/Prague	1	2	1
349	LV	Europe/Riga	2	3	2
350	IT	Europe/Rome	1	2	1
351	RU	Europe/Samara	4	4	4
352	SM	Europe/San_Marino	1	2	1
353	BA	Europe/Sarajevo	1	2	1
354	RU	Europe/Saratov	4	4	4
355	UA	Europe/Simferopol	3	3	3
356	MK	Europe/Skopje	1	2	1
357	BG	Europe/Sofia	2	3	2
358	SE	Europe/Stockholm	1	2	1
359	EE	Europe/Tallinn	2	3	2
360	AL	Europe/Tirane	1	2	1
361	RU	Europe/Ulyanovsk	4	4	4
362	LI	Europe/Vaduz	1	2	1
363	VA	Europe/Vatican	1	2	1
364	AT	Europe/Vienna	1	2	1
365	LT	Europe/Vilnius	2	3	2
366	RU	Europe/Volgograd	3	3	3
367	PL	Europe/Warsaw	1	2	1
368	HR	Europe/Zagreb	1	2	1
369	CH	Europe/Zurich	1	2	1
370	MG	Indian/Antananarivo	3	3	3
371	IO	Indian/Chagos	6	6	6
372	CX	Indian/Christmas	7	7	7
373	CC	Indian/Cocos	6.5	6.5	6.5
374	KM	Indian/Comoro	3	3	3
375	TF	Indian/Kerguelen	5	5	5
376	SC	Indian/Mahe	4	4	4
377	MV	Indian/Maldives	5	5	5
378	MU	Indian/Mauritius	4	4	4
379	YT	Indian/Mayotte	3	3	3
380	RE	Indian/Reunion	4	4	4
381	WS	Pacific/Apia	13	13	13
382	NZ	Pacific/Auckland	13	12	12
383	PG	Pacific/Bougainville	11	11	11
384	NZ	Pacific/Chatham	13.75	12.75	12.75
385	FM	Pacific/Chuuk	10	10	10
386	CL	Pacific/Easter	-5	-6	-6
387	VU	Pacific/Efate	11	11	11
388	TK	Pacific/Fakaofo	13	13	13
389	FJ	Pacific/Fiji	12	12	12
390	TV	Pacific/Funafuti	12	12	12
391	EC	Pacific/Galapagos	-6	-6	-6
392	PF	Pacific/Gambier	-9	-9	-9
393	SB	Pacific/Guadalcanal	11	11	11
394	GU	Pacific/Guam	10	10	10
395	US	Pacific/Honolulu	-10	-10	-10
396	KI	Pacific/Kanton	13	13	13
397	KI	Pacific/Kiritimati	14	14	14
398	FM	Pacific/Kosrae	11	11	11
399	MH	Pacific/Kwajalein	12	12	12
400	MH	Pacific/Majuro	12	12	12
401	PF	Pacific/Marquesas	-9.5	-9.5	-9.5
402	UM	Pacific/Midway	-11	-11	-11
403	NR	Pacific/Nauru	12	12	12
404	NU	Pacific/Niue	-11	-11	-11
405	NF	Pacific/Norfolk	12	11	11
406	NC	Pacific/Noumea	11	11	11
407	AS	Pacific/Pago_Pago	-11	-11	-11
408	PW	Pacific/Palau	9	9	9
409	PN	Pacific/Pitcairn	-8	-8	-8
410	FM	Pacific/Pohnpei	11	11	11
411	PG	Pacific/Port_Moresby	10	10	10
412	CK	Pacific/Rarotonga	-10	-10	-10
413	MP	Pacific/Saipan	10	10	10
414	PF	Pacific/Tahiti	-10	-10	-10
415	KI	Pacific/Tarawa	12	12	12
416	TO	Pacific/Tongatapu	13	13	13
417	UM	Pacific/Wake	12	12	12
418	WF	Pacific/Wallis	12	12	12
